Type,Description,Brand
Tops,White with black boat neck and black details,dubai
Tops,white with lace back,brandfactory
Tops,Yellow floral,central
Tops,Black Batman,crossword
Tops,White with pink sequinned roses,Dubai
Tops,White with colooured beaded sleeves,H&M
Tops,White plain with scolloped V neck,H&M
Tops,Red suit top,Dubai
Tops,Black suit Top,Elle
Tops,Pink suit Top,Dubai
Tops,Black galaxy top,Candies
Tops,Yellow with white work,Dubai
